from_node_id,to_node_id,distance_km,transit_hours,transport_cost_per_tonne
F1,M1,14.5,1.2,180
F1,M3,22.0,1.8,260
F2,M1,18.0,1.4,210
F2,M2,19.5,1.5,225
F2,M3,16.0,1.3,195
F3,M1,15.0,1.2,185
F3,M3,17.5,1.4,210
F4,M1,16.5,1.3,200
F4,M3,14.0,1.1,175
F5,M3,21.0,1.6,250
F5,M4,15.5,1.2,190
F6,M4,28.0,2.0,320
F6,M1,34.0,2.4,380
F1,S1,12.0,1.0,150
F1,S2,16.0,1.3,190
F2,S1,8.5,0.7,110
F2,S2,14.0,1.1,170
F3,S1,9.0,0.8,120
F3,S2,15.0,1.2,180
F4,S1,11.5,0.9,140
F4,S3,20.0,1.5,240
F5,S3,14.0,1.1,175
F6,S3,25.0,1.8,290
M1,S1,15.5,1.2,185
M1,S2,13.0,1.0,160
M2,S1,12.5,1.0,155
M2,S2,17.0,1.3,205
M3,S1,14.0,1.1,170
M3,S3,16.5,1.3,200
M4,S3,8.0,0.6,100
M1,P1,9.5,0.8,120
M1,P2,18.0,1.4,215
M2,P1,32.0,2.2,360
M2,P2,20.5,1.6,245
M3,P2,12.0,1.0,145
M3,P3,26.0,1.9,300
M4,P3,11.0,0.9,135
S1,P2,6.0,0.5,80
S1,P1,22.0,1.7,260
S2,P1,19.0,1.4,225
S2,P2,15.0,1.2,180
S3,P3,12.5,1.0,150
S3,P2,24.0,1.8,280
